open_pr_id,open_pr_title,match_found,score,match_pr_id,match_pr_title
23050,fix(zai): map thinking/reasoning_effort params to Z.ai format,False,0.7546,,
23048,fix(anthropic): preserve content block ordering on round-trip with multiple web searches,False,0.7593,,
23046,Team admin UI permissions,True,0.9015,23040,[Infra] Building UI for Release
23044,Agents health check,True,0.9007,23040,[Infra] Building UI for Release
23043,Hybrid sidecar architecture,False,0.8690,,
23042,fix(bedrock): strip output_config from Bedrock Invoke requests,False,0.8235,,
23041,fix(guardrails): propagate Bedrock GUARDRAIL_INTERVENED when assessments are missing,False,0.7420,,
23039,fix(hosted_vllm): convert thinking blocks to text for vLLM compatibility,False,0.7699,,
23037,fix(presidio): PII token round-trip masking/unmasking for Anthropic native API,False,0.7480,,
23035,feat: add Azure GPT-5.4 model support with reasoning effort levels,False,0.8698,,
23032,Fix CVEs: npm tar/minimatch + pypdf,False,0.7342,,
23030,chore: regenerate poetry.lock to match pyproject.toml,True,0.9952,22769,chore: regenerate poetry.lock to match pyproject.toml
23026,fix(vertex_ai): convert image URLs to base64 for /v1/messages endpoint,False,0.7616,,
23024,[Fix] Zero Cost for claude-opus-4-6 With Stale DB Pricing Defaults,False,0.7716,,
23023,[Infra] Speed Up /team/daily/activity Query Performance,False,0.8478,,
23018,fix(budget): log warning on timezone fallback to UTC,False,0.8622,,
23013,feat: add CAMB AI text-to-speech provider,False,0.8287,,
23012,feat(mcp): popular REST API gallery for OpenAPI MCPs + per-user OAuth2 connect in ChatUI,False,0.7554,,
23010,Fix duplicate async success log emissions for streaming requests (#21…,False,0.8023,,
23007,fix: ProxyException.__str__ returns message instead of empty string,False,0.8347,,
23004,fix: resolve three bugs in /ask-codebase PR (Greptile findings),False,0.7578,,
23002,test: regression tests for Bedrock duplicate toolUse ID bug,False,0.7389,,
23000,fix(logging): redact messages in async_failure_handler when turn_off_…,False,0.7311,,
22999,feat(panw-prisma-airs): PANW Prisma AIRS guardrail with apply_guardrail support,False,0.8022,,
22995,Merge Main to Feb 22 Stage,True,0.9528,22752,[Feat] Add Google Search API Integration
22994,Litellm release day 03 07 2026,True,0.9325,22752,[Feat] Add Google Search API Integration
22993,fix: LITELLM_DROP_PARAMS / LITELLM_MODIFY_PARAMS env vars always truthy for any non-empty string value,False,0.7538,,
22991,fix(vertex): drop extra_body.cache from Gemini request payload,False,0.7642,,
22990,fix(azure): strip output_config parameter from Azure OpenAI requests,False,0.8379,,
22989,feat : add session_id filter to /spend/logs/v2 endpoint,False,0.7419,,
22988,Dynamic limiting prioritization reference,True,0.8816,23040,[Infra] Building UI for Release
22987,feat(voyage): add support for voyage-4-large in litellm proxy,False,0.8692,,
22986,fix VLLM cached tokens handling in token cost calculator,False,0.8562,,
22985,fix(proxy): make async_post_call_response_headers_hook consistent across all endpoints,False,0.7755,,
22980,fix k8s migration job - create volumes for readonly fs,False,0.7226,,
22979,fix: sanitize empty text content blocks in /v1/messages endpoint,True,0.9613,22933,fix: sanitize empty text content blocks in /v1/messages endpoint
22978,fix(lint): fix all ruff PLR0915 and F401 CI failures on main,False,0.8090,,
22977,fix(responses): strip empty text content parts before chat/completion…,False,0.8569,,
22976,networking: abstract http interfaces,False,0.8310,,
22975,fix: add jp. (Japan) region prefix for claude-sonnet-4-6 Bedrock,False,0.7372,,
22974,fix(model_prices): add jp. region prefix for claude-sonnet-4-6,False,0.7893,,
22969,chore: elaborate the missing keys in validate_environment,True,0.8913,22834,chore
22967,fix(chatgpt): normalize system-role payloads for chat/responses,False,0.7629,,
22960,[Fix] Optimize Team Usage Daily Activity Query for Large Datasets,True,0.8719,22938,[Fix] Team Usage Spend Truncated Due to Pagination
22959,tests: fix typo in Clarifai test failure message,False,0.7953,,
22958,tests: fix typo in Triton test failure message,False,0.7774,,
22955,fix: normalize response images missing index + guard audio duration o…,False,0.8296,,
22947,fix(anthropic): sanitize /v1/messages pass-through for tool_use content ordering,False,0.8378,,
22944,chore(deps): bump dompurify from 3.3.0 to 3.3.2 in /docs/my-website,False,0.7333,,
22943,feat(mcp): OAuth2 authorization-code flow for OpenAPI BYOK MCP servers,True,0.8832,22850,feat(mcp): BYOK MCP servers with OAuth 2.1 PKCE authorization flow
22942,Litellm agents budget limits,False,0.6910,,
22941,Mcp operational visibility,True,0.9075,22752,[Feat] Add Google Search API Integration
22935,Add Rubrik plugin for tool call blocking and request logging,False,0.7148,,
22929,fix: duplicate  logs on claude code cli requests,False,0.7472,,
22927,fix(pass-through): use isinstance check instead of isasyncgen for vllm/azure streaming routes,False,0.7780,,
22923,fix(sso): direct PKCE token exchange + Redis wiring for multi-instance SSO,False,0.7843,,
22921,Tool Policies - add 'agent id' column to see what agent called which tool  ,True,0.8753,22752,[Feat] Add Google Search API Integration
22914,Fix exception pickling for concurrent.futures / multiprocessing,False,0.7482,,
22912,fix: HuggingFace cost calculation now respects custom input_cost_per_token/output_cost_per_token config,False,0.8166,,
22911,fix(proxy): handle user_email on /key/generate by creating/linking user record,False,0.7466,,
22908,fix(ui): parse YAML and update state in blocklist file upload handler,False,0.7254,,
22907,fix(github_copilot): check only last message for initiator determination,False,0.6973,,
22903,fix(lint): fix 6 ruff errors breaking CI on main,False,0.8151,,
22897,fix response not being redacted for custom callbacks with streaming enabled,False,0.8421,,
22894,feat(skills): add /ask-codebase codebase intelligence skill,False,0.7689,,
22886,fix(a2a): replace bare assert with descriptive RuntimeError on retry exhaustion,False,0.7136,,
22885,Add SAP additional modules and possibility of modules list,False,0.7681,,
22883,(fix): token_count calculation during inline data sent during multimodal inputs,False,0.8391,,
22879,fix(guardrail): pass request_data through unified guardrail to output handlers,False,0.7420,,
22874,fix(ci): fix failing CI tests and version mismatches,False,0.8630,,
22868,chore: remove webhook-test.com references from generic API examples,False,0.8608,,
22865,refactor: websearch interception to use async_execute_tool_calls hook,False,0.7350,,
22864,feat: add async_execute_tool_calls hook to CustomLogger,False,0.7590,,
22860,[Fix] UI Logo: serve local files with correct Content-Type and fix fallback chain,False,0.6991,,
22853,[Feature] Add /v2/user/info endpoint for lightweight user profile lookups,False,0.7833,,
22849,Agents - add max budget + tpm/rpm limiting per agent AND per agent session ,False,0.8413,,
22844,Litellm oss staging 03 05 2026,True,0.9957,22689,Litellm oss staging 03 03 2026
22843,fix(router): filter deployments by access groups to prevent cross-group load balancing,False,0.7975,,
22840,chore(deps): bump svgo from 3.3.2 to 3.3.3 in /docs/my-website,False,0.6923,,
22839,"Agents - enforce x-litellm-trace-id, support spend tracking for agent when key assigned to agent is updated ",False,0.7636,,
22832,build(deps): bump @tootallnate/once and jest-environment-jsdom in /tests/proxy_admin_ui_tests/ui_unit_tests,False,0.7212,,
22811,build(deps): bump @hono/node-server from 1.19.6 to 1.19.10 in /litellm-js/spend-logs,False,0.7303,,
22808,Docs/connection pool leak,False,0.8640,,
22806,build(deps): bump hono from 4.10.6 to 4.12.5 in /litellm-js/spend-logs,False,0.7091,,
22795,fix(ci): fix Mock.keys() TypeError in proxy tests + defensive type check,False,0.8430,,
22794,fix(ci): fix Mock.keys() failure in proxy_utils test,False,0.8400,,
22793,fix(proxy): return JSON error when first SSE chunk has error.code null,False,0.7867,,
22792,"fix: model tpm/rpm, softbudget, cache invalidation",False,0.7412,,
22787,feat(proxy): add /skill endpoints with virtual key scoping,False,0.8148,,
22782,fix(mcp): add AWS SigV4 auth for Bedrock AgentCore MCP servers,False,0.8203,,
22779,fix(ui): populate Customer/Customer ID columns in CSV export from end_user,False,0.7811,,
22774,fix(openrouter): remove usage injection that causes TypeError on OpenAI SDK path,False,0.7336,,
22770,fix(bedrock): prevent inference_geo and speed from leaking to Bedrock API,False,0.7768,,
22766,fix(responses): pass extra_body through responses-to-completion bridge,False,0.7327,,
22764,fix(mcp): forward extra_headers to OpenAPI-based MCP servers,False,0.7902,,
22757,fix: preserve ProxyException status codes in MCP server handler,False,0.8457,,
22749,fix(cache): preserve embedding indices on cache merges,False,0.7508,,
22746,fix(pass-through): avoid adapter registry overwrite,False,0.7352,,
22745,fix(redis): skip SSLConnection when ssl=False in connection pool,False,0.7499,,
22743,[Fix] Validate key MCP server assignments against team permissions,False,0.7638,,
